0 1 2 3 4 5 6 7 8 9 
8.100000 5.900000 1.900000 5.300000 19.900000 17.100000 12.100000 16.500000 11.900000 18.700000 
150.400000 0.000000 176.000000 50.000000 0.000000 154.000000 14.500000 9.666667 14.500000 117.833333 
90.000000 40.333333 392.333333 266.666667 24.200000 129.800000 59.500000 148.000000 74.250000 50.000000 
301.200000 176.000000 40.333333 344.500000 211.200000 72.800000 162.250000 29.833333 384.750000 79.500000 
20.600000 40.333333 176.000000 255.333333 129.800000 260.000000 60.750000 148.000000 75.250000 39.666667 
24.200000 81.000000 81.000000 128.333333 438.600000 72.800000 191.500000 79.500000 74.250000 199.000000 
235.400000 0.000000 433.333333 198.333333 105.600000 72.800000 90.000000 147.833333 135.250000 49.500000 
150.400000 121.666667 121.666667 29.833333 72.800000 129.800000 191.500000 90.166667 90.000000 158.500000 
126.200000 338.333333 216.333333 325.500000 203.000000 129.800000 90.000000 137.500000 103.500000 168.333333 
252.800000 216.333333 352.000000 177.166667 259.800000 308.400000 309.000000 137.500000 191.500000 239.000000 
154.200000 176.000000 0.000000 158.333333 72.800000 178.400000 252.500000 90.666667 149.750000 39.666667 
220.000000 257.000000 216.333333 188.500000 48.400000 341.200000 74.250000 268.333333 323.750000 147.166667 
235.400000 297.666667 257.000000 138.000000 259.800000 202.800000 104.750000 39.000000 338.500000 69.666667 
69.200000 40.333333 40.333333 117.333333 129.800000 0.000000 384.500000 199.166667 180.250000 296.000000 
20.600000 121.666667 40.333333 196.166667 211.200000 178.400000 59.500000 147.166667 58.500000 277.333333 
90.000000 40.333333 176.000000 137.500000 154.200000 414.400000 59.500000 69.000000 88.750000 79.333333 
126.200000 40.333333 162.333333 90.166667 48.400000 154.200000 30.250000 354.000000 88.750000 367.000000 
24.200000 81.000000 162.333333 100.500000 154.200000 284.000000 441.000000 60.000000 251.250000 79.333333 
150.400000 40.333333 81.000000 158.333333 414.200000 284.000000 220.750000 394.833333 281.750000 236.666667 
0.000000 216.333333 81.000000 363.166667 202.800000 72.800000 103.500000 89.166667 74.250000 157.833333 
0.000000 433.333333 40.333333 100.500000 202.800000 259.600000 90.000000 131.333333 88.750000 117.833333 
20.600000 0.000000 257.000000 90.666667 178.400000 178.600000 44.750000 109.500000 135.250000 286.333333 
192.000000 40.333333 0.000000 178.000000 625.800000 154.000000 30.250000 119.333333 44.750000 90.833333 
192.000000 176.000000 176.000000 157.000000 24.200000 72.800000 135.250000 187.833333 74.250000 120.166667 
20.600000 352.333333 40.333333 69.833333 519.800000 389.800000 75.250000 287.000000 59.500000 176.666667 
256.000000 40.333333 81.000000 127.666667 438.400000 202.800000 59.500000 168.333333 162.250000 187.666667 
147.000000 609.333333 40.333333 171.333333 332.800000 48.400000 398.000000 168.166667 119.250000 141.166667 
69.200000 121.666667 176.000000 99.833333 259.600000 73.000000 30.250000 59.166667 222.000000 49.500000 
105.600000 40.333333 81.000000 168.333333 154.200000 48.400000 135.250000 157.833333 44.750000 286.666667 
174.800000 40.333333 121.666667 99.000000 97.200000 24.200000 58.500000 187.666667 29.250000 137.500000 
20.600000 40.333333 0.000000 117.333333 121.600000 178.600000 74.250000 215.833333 236.750000 90.000000 
44.800000 0.000000 216.333333 147.166667 97.200000 97.400000 151.000000 117.333333 90.000000 238.333333 
131.600000 121.666667 40.333333 157.000000 251.600000 259.800000 280.750000 227.666667 29.250000 188.666667 
150.400000 81.000000 40.333333 141.166667 48.600000 203.000000 88.750000 344.333333 235.500000 79.333333 
0.000000 81.000000 176.000000 29.833333 48.600000 178.600000 121.750000 70.333333 223.250000 39.666667 
