0 1 2 3 4 5 
19.900000 20.100000 20.300000 20.500000 20.700000 20.900000 
35.421175 62.499997 20.833332 41.666665 41.666665 41.666665 
70.842350 62.499997 41.666665 41.666665 41.666665 83.333329 
70.842350 83.333329 104.166662 104.166662 41.666665 20.833332 
70.842350 83.333329 83.333329 83.333329 166.666659 62.499997 
150.539994 104.166662 62.499997 124.999994 62.499997 62.499997 
61.987056 104.166662 166.666659 145.833326 83.333329 83.333329 
79.697644 104.166662 104.166662 83.333329 62.499997 41.666665 
150.539994 124.999994 20.833332 41.666665 83.333329 104.166662 
106.263525 62.499997 62.499997 83.333329 83.333329 41.666665 
123.974113 104.166662 83.333329 83.333329 104.166662 62.499997 
61.987056 62.499997 104.166662 20.833332 104.166662 41.666665 
97.408231 83.333329 229.166656 104.166662 20.833332 62.499997 
115.118819 104.166662 187.499991 83.333329 166.666659 41.666665 
79.697644 83.333329 104.166662 104.166662 166.666659 62.499997 
141.684700 124.999994 104.166662 124.999994 104.166662 124.999994 
115.118819 83.333329 104.166662 104.166662 62.499997 145.833326 
132.829406 62.499997 83.333329 41.666665 20.833332 62.499997 
79.697644 20.833332 166.666659 145.833326 83.333329 104.166662 
132.829406 104.166662 124.999994 104.166662 104.166662 104.166662 
97.408231 83.333329 41.666665 124.999994 145.833326 124.999994 
141.684700 62.499997 62.499997 62.499997 0.000000 83.333329 
141.684700 83.333329 62.499997 62.499997 104.166662 20.833332 
106.263525 83.333329 41.666665 124.999994 41.666665 41.666665 
79.697644 83.333329 104.166662 104.166662 83.333329 62.499997 
70.842350 62.499997 20.833332 0.000000 41.666665 83.333329 
123.974113 104.166662 62.499997 41.666665 104.166662 62.499997 
106.263525 62.499997 104.166662 62.499997 62.499997 62.499997 
97.408231 41.666665 41.666665 83.333329 62.499997 41.666665 
115.118819 145.833326 83.333329 41.666665 20.833332 62.499997 
88.552938 41.666665 41.666665 83.333329 83.333329 83.333329 
70.842350 62.499997 124.999994 104.166662 124.999994 124.999994 
79.697644 83.333329 20.833332 41.666665 124.999994 62.499997 
70.842350 124.999994 62.499997 62.499997 124.999994 20.833332 
61.987056 124.999994 104.166662 62.499997 83.333329 62.499997 
115.118819 83.333329 41.666665 124.999994 83.333329 41.666665 
79.697644 124.999994 83.333329 124.999994 62.499997 62.499997 
53.131763 62.499997 62.499997 62.499997 41.666665 145.833326 
61.987056 41.666665 20.833332 104.166662 83.333329 20.833332 
97.408231 62.499997 83.333329 124.999994 62.499997 41.666665 
88.552938 104.166662 62.499997 62.499997 124.999994 62.499997 
97.408231 41.666665 20.833332 62.499997 62.499997 20.833332 
88.552938 166.666659 20.833332 83.333329 104.166662 62.499997 
150.539994 62.499997 62.499997 62.499997 104.166662 166.666659 
106.263525 83.333329 41.666665 83.333329 62.499997 41.666665 
53.131763 83.333329 62.499997 124.999994 41.666665 145.833326 
97.408231 83.333329 83.333329 83.333329 83.333329 104.166662 
115.118819 62.499997 83.333329 124.999994 104.166662 83.333329 
